id,question,answer,visible,display_order
package-difference,What is the difference between ONYX and JADE?,ONYX is a premium experience for up to 6 players and includes PlayStation and Nintendo gaming racing and VR. JADE is designed for larger groups of up to 10 players playing across multiple stations.,true,1
players,How many people can take part?,ONYX accommodates up to 6 players. JADE accommodates up to 10 players.,true,2
setup,Do I need to set anything up?,No. We deliver the equipment set everything up and host the gaming session.,true,3
room,How much room will I need?,The best layout depends on the venue and package. Send us a photograph or approximate room dimensions and we’ll help confirm a suitable arrangement.,true,4
games,Can the games be selected for the group?,Yes. Games can be selected around the group and the type of experience you want.,true,5
addons,Can we add extras?,Optional add-ons may be available or planned depending on the package room and date. Prices are confirmed during enquiry rather than shown as fixed.,true,6
